Company,Inches,Cpu,Ram(in GB),Memory(in GB),Gpu,OpSys,Weight,Price_euros
Dell,15.6,Intel Core i7 6820HQ 2.7GHz,16,512,Nvidia Quadro M620,Windows 10,2.17,2338
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,2.06,1899
Lenovo,12.5,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,1.36,1798
Asus,12.5,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,0.91,1950
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows 10,2.3,1011.99
Toshiba,13.3,Intel Core i7 7500U 2.7GHz,32,512,Intel HD Graphics 620,Windows 10,1.05,2799
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,1.99,1350
Acer,15.6,AMD A10-Series 9620P 2.5GHz,8,1024,AMD Radeon RX 540,Windows 10,2.2,579
Asus,17.3,Intel Core i7 6700HQ 2.6GHz,24,1024,Nvidia GeForce GTX 965M,Windows 10,4.33,1269
Lenovo,12.5,Intel Core i5 6200U 2.3GHz,8,180,Intel HD Graphics 520,Windows 10,1.3,1099
Lenovo,15.6,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,2.17,898.9
HP,14,Intel Core i7 7600U 2.8GHz,8,1024,Intel HD Graphics 620,Windows 10,1.48,1749
Lenovo,13.3,Intel Core i3 7100U 2.4GHz,8,256,Intel HD Graphics 620,Windows 10,1.4,949
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2.3,911
Asus,11.6,Intel Celeron Dual Core N3350 1.1GHz,4,64,Intel HD Graphics 500,Windows 10 S,1.2,340
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256,AMD Radeon 520,Windows 10,1.91,618.99
Lenovo,13.9,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.4,1599
Lenovo,14,Intel Celeron Dual Core N3350 1.1GHz,4,500,Intel HD Graphics 500,Windows 10,2.1,299
Lenovo,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,16,Intel HD Graphics 400,Chrome OS,1.25,265
Lenovo,13.3,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.44,949
Asus,15.6,Intel Core i7 7500U 2.7GHz,8,1024,Intel HD Graphics 620,Windows 10,2,1224
Acer,15.6,Intel Core i5 8250U 1.6GHz,4,1024,Nvidia GeForce MX150,Windows 10,2.2,613
HP,13.3,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,1.34,1323
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1060,No OS,2.4,1149
Dell,13.3,Intel Core i5 7200U 2.5GHz,8,128,Intel HD Graphics 620,Windows 10,1.29,899
Acer,15.6,Intel Core i7 7500U 2.7GHz,4,500,Nvidia GeForce 940MX,Windows 10,2.2,639
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows 10,2.18,836
Dell,15.6,Intel Core i7 8550U 1.8GHz,16,2048,AMD Radeon 530,Windows 10,2.2,1219.24
Xiaomi,15.6,Intel Core i7 8550U 1.8GHz,16,256,Nvidia GeForce MX150,No OS,1.95,1399.95
Asus,11.6,Intel Celeron Dual Core N3350 1.1GHz,2,32,Intel HD Graphics 500,Windows 10,1.1,245
HP,15.6,Intel Core i5 8250U 1.6GHz,4,1024,Intel UHD Graphics 620,Windows 10,2.04,521.47
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,24,512,Nvidia GeForce GTX1080,Windows 10,2.24,2968
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 930MX,Windows 10,2.04,889
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX1050 Ti,Windows 10,3,1504
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1060,Windows 10,3.2,1399
HP,13.3,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.32,1399
Dell,14,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,1.64,1279.73
HP,15.6,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,1.63,689
Dell,17.3,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 530,Linux,2.8,889
Lenovo,14,Intel Core i5 6200U 2.3GHz,8,256,Intel HD Graphics 520,Windows 7,2.02,1340
Lenovo,15.6,Intel Core i7 7500U 2.7GHz,4,1024,Nvidia GeForce 920MX,Windows 10,2.2,799
Lenovo,15.6,Intel Core i3 6006U 2GHz,8,2048,Nvidia GeForce 920MX ,No OS,2.2,459
Dell,15.6,Intel Core i5 7200U 2.5GHz,4,500,AMD Radeon R5 M430,Windows 10,2.3,585
Dell,15.6,Intel Core i5 7440HQ 2.8GHz,8,256,Intel HD Graphics 620,Windows 10,1.9,1377
Dell,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,4.42,3012.77
Toshiba,15.6,Intel Core i5 7200U 2.5GHz,8,500,Intel HD Graphics 620,Windows 10,2,860
Asus,15.6,Intel Core i7 7500U 2.7GHz,8,1024,Nvidia GeForce GTX 960M,Windows 10,2,1299
Mediacom,13.3,Intel Celeron Quad Core N3450 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.2,369
Asus,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1060,Windows 10,2.3,1649
Dell,15.6,Intel Core i7 7600U 2.8GHz,8,256,Nvidia GeForce 930MX,Windows 10,1.93,1369
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 530,Windows 10,2.2,797.41
HP,15.6,Intel Pentium Quad Core N3710 1.6GHz,4,256,Intel HD Graphics 405,Windows 10,1.86,398.99
HP,17.3,Intel Core i7 7700HQ 2.8GHz,12,1024,Nvidia GeForce GTX 1060,Windows 10,2.62,1799
Lenovo,14,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,1.87,859
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.2,1399
Dell,14,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,1.6,735.87
HP,13.3,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.34,1145
Acer,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Linux,2.4,798
Asus,15.6,AMD E-Series 7110 1.8GHz,4,500,AMD Radeon R2 Graphics,Windows 10,2,349
HP,15.6,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows 10,2.1,705.5
Lenovo,14,Intel Core i5 7200U 2.5GHz,4,500,Intel HD Graphics 620,Windows 10,1.87,785
Lenovo,15.6,Intel Core i5 6200U 2.3GHz,4,1024,Intel HD Graphics 520,No OS,2.15,462.35
HP,15.6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,Windows 10,1.86,397
Lenovo,15.6,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,1.99,1729
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,2.2,499
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.9,1116.99
Dell,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,4.42,2699
HP,17.3,Intel Core i3 6006U 2GHz,8,1024,Intel HD Graphics 520,Windows 10,2.65,544.15
HP,17.3,Intel Core i7 7500U 2.7GHz,8,1024,Nvidia GeForce 930MX,Windows 10,2.63,1280
Asus,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,500,Intel HD Graphics 500,Linux,2,224
Mediacom,13.3,Intel Atom x5-Z8350 1.44GHz,4,32,Intel HD Graphics,Windows 10,1.35,255
Lenovo,17.3,Intel Core i7 7500U 2.7GHz,6,1024,Nvidia GeForce 940MX,Windows 10,2.8,949
HP,15.6,AMD A10-Series A10-9620P 2.5GHz,6,128,AMD Radeon 530,Windows 10,1.91,568.9
Dell,15.6,Intel Core i3 6006U 2GHz,4,1024,AMD Radeon R5 M420,Windows 10,2.18,617.9
Acer,11.6,Intel Celeron Dual Core N3350 2.0GHz,4,32,Intel HD Graphics 500,Windows 10,1.25,349
Lenovo,15.6,Intel Core i3 7130U 2.7GHz,4,128,Intel HD Graphics 620,Windows 10,2.05,630
HP,13.3,Intel Core M 6Y75 1.2GHz,16,512,Intel HD Graphics 515,Windows 10,1.16,1965
Lenovo,17.3,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M620M,Windows 10,3.4,2999
Asus,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.5,839
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,128,Intel UHD Graphics 620,Windows 10,1.21,1599
Dell,15.6,Intel Core i5 7300U 2.6GHz,4,500,Intel HD Graphics 620,Windows 10,1.93,959
Fujitsu,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows 10,2.2,739
Lenovo,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,500,Intel HD Graphics 505,Windows 10,2.2,344
Lenovo,14,Intel Core i5 7200U 2.5GHz,4,500,Intel HD Graphics 620,Windows 10,2.02,990
HP,17.3,Intel Core i5 7440HQ 2.8GHz,8,500,Nvidia Quadro M1200,Windows 10,3.14,1860.99
HP,14,Intel Pentium Quad Core N3710 1.6GHz,8,2048,Intel HD Graphics 405,Windows 10,1.94,389
HP,15.6,AMD A9-Series A9-9420 3GHz,6,256,AMD Radeon 530,Windows 10,1.95,649
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2.3,830
Lenovo,15.6,Intel Core i5 8250U 1.6GHz,4,500,Intel HD Graphics 620,Windows 10,2.05,685
Mediacom,14,Intel Atom x5-Z8350 1.44GHz,4,32,Intel HD Graphics,Windows 10,1.4,249
Toshiba,14,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,1.24,1865
Lenovo,17.3,Intel Core i7 6820HK 2.7GHz,32,1024,Nvidia GeForce GTX 1070,Windows 10,4.6,2663
MSI,17.3,Intel Core i7 7820HK 2.9GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,4.14,2729
Dell,15.6,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R5 M430,Linux,2.2,749.01
Mediacom,14,Intel Celeron Quad Core N3450 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.45,389
Dell,15.6,Intel Core i5 7300U 2.6GHz,8,500,Intel HD Graphics 620,Windows 10,1.9,1008.52
HP,13.3,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows 10,1.49,719
Dell,15.6,Intel Core i7 7600U 2.8GHz,16,256,Nvidia GeForce 930MX,Windows 10,1.93,1537.39
Dell,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,16,Intel HD Graphics 400,Chrome OS,1.26,295
MSI,17.3,Intel Core i7 6820HK 2.7GHz,16,1024,Nvidia GeForce GTX 980M,Windows 10,4.5,2349
HP,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050,Windows 10,3.78,1498
Lenovo,14,Intel Core i7 6600U 2.6GHz,12,256,Intel HD Graphics 520,Windows 10,1.4,1673
Lenovo,15.6,Intel Core i7 8550U 1.8GHz,12,1024,Intel HD Graphics 620,Windows 10,2.2,609
Asus,17.3,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1060,Windows 10,2.73,1770
Asus,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 520,Windows 10,2.2,739
Lenovo,15.6,AMD A12-Series 9720P 3.6GHz,12,512,AMD Radeon 530,Windows 10,2.2,949
Dell,11.6,Intel Core M 7Y30 1.0GHz,4,128,Intel HD Graphics 615,Windows 10,1.39,603
Samsung,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050,Windows 10,2.5,1699
Lenovo,17.3,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,2.8,529
Lenovo,15.6,Intel Core i3 6100U 2.3GHz,8,1024,Intel HD Graphics 520,Windows 10,2.29,459
Lenovo,13.3,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,1.37,2025
Lenovo,14,Intel Core i5 7300HQ 2.5GHz,8,256,Intel HD Graphics 630,Windows 10,1.7,1474
Dell,12.5,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.34,1670
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M620,Windows 10,2.06,1763
HP,15.6,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.84,1219
HP,15.6,Intel Core i3 7100U 2.4GHz,4,500,Intel HD Graphics 620,Windows 10,2.1,668.48
Acer,14,Intel Celeron Quad Core N3450 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.6,329
MSI,17.3,Intel Core i7 6820HK 2.7GHz,16,1024,Nvidia GeForce GTX 970M,Windows 10,4.14,2199
Dell,15.6,Intel Core i3 6006U 2GHz,4,1024,AMD Radeon R5 M420,Linux,2.18,465
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,2048,Nvidia GeForce GTX 1060,Windows 10,1.8,2299
Toshiba,15.6,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,2.2,1399
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,6,1024,Intel HD Graphics 620,Windows 10,2.4,564
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Intel HD Graphics 630,Windows 10,2,1299
Acer,14,Intel Pentium Quad Core N3710 1.6GHz,4,128,Intel HD Graphics 405,Windows 10,1.6,349
Lenovo,15.6,Intel Xeon E3-1535M v6 3.1GHz,32,1024,Nvidia Quadro M2200M,Windows 10,2.5,4899
Dell,15.6,Intel Core i7 6700HQ 2.6GHz,16,1024,Nvidia GeForce GTX 960<U+039C>,Windows 10,2.59,879.01
Dell,15.6,Intel Core i3 6006U 2.0GHz,4,1024,Intel HD Graphics 520,Linux,2.18,443.9
Dell,15.6,Intel Core i3 6006U 2.0GHz,4,1024,Intel HD Graphics 520,Linux,2.25,359
Dell,15.6,Intel Core i5 7300U 2.6GHz,4,500,Intel HD Graphics 620,Linux,1.93,869
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,3,1168
Dell,15.6,Intel Core i5 7200U 2.5GHz,4,128,AMD Radeon R5 M420,Linux,2.18,569
HP,15.6,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,1.84,1389
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,2.94,2267.86
Acer,11.6,Intel Celeron Quad Core N3160 1.6GHz,4,32,Intel HD Graphics 400,Chrome OS,1.25,379
HP,14,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,2.31,1124
Lenovo,14,Intel Core i5 6200U 2.3GHz,8,256,Intel HD Graphics 520,Windows 7,1.65,1465
Dell,15.6,Intel Core i5 8250U 1.6GHz,4,1024,AMD Radeon 530,Windows 10,2.2,776
Fujitsu,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2.2,799
HP,15.6,Intel Core i5 6200U 2.3GHz,4,500,Intel HD Graphics 520,Windows 7,1.88,932
Lenovo,15.6,Intel Core i7 7500U 2.7GHz,8,1024,Nvidia GeForce 920MX,Windows 10,2.2,899
Mediacom,14,Intel Atom x5-Z8350 1.44GHz,2,32,Intel HD Graphics,Windows 10,1.4,239
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,No OS,2.2,468
Asus,13.3,Intel Core i5 7200U 2.5GHz,6,1024,Intel HD Graphics 620,Windows 10,1.5,639.01
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,2,1820
Asus,14,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,1.1,1900
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1479
Lenovo,15.6,Intel Core i5 8250U 1.6GHz,4,256,Intel UHD Graphics 620,Windows 10,1.8,829
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,1024,Nvidia GeForce 920MX ,Windows 10,2.2,579
Asus,15.6,Intel Celeron Dual Core N3350 1.1GHz,8,1024,Intel HD Graphics 500,Windows 10,2,399
Asus,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,1.99,906.62
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.23,1869
Lenovo,14,Intel Celeron Dual Core N3060 1.6GHz,2,32,Intel HD Graphics 400,Windows 10,1.42,249
Lenovo,13.3,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.37,1757.42
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050,Windows 10,2.06,2399
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050M,Windows 10,2.5,1109
HP,17,AMD A9-Series 9420 3GHz,8,1024,AMD Radeon R5,Windows 10,2.6,520.9
Lenovo,14,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,1.14,2450
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050 Ti,No OS,2.5,1169
Acer,15.6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,Windows 10,2.4,450
Lenovo,14,Intel Celeron Dual Core N3060 1.6GHz,4,32,Intel HD Graphics,Windows 10,1.43,274
Acer,14,Intel Core i5 7200U 2.5GHz,8,256,Intel Graphics 620,Windows 10,1.8,919
Razer,14,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows 10,1.95,2599
Toshiba,13.3,Intel Core i5 6200U 2.3GHz,8,256,Intel HD Graphics 520,Windows 10,1.2,1213
Lenovo,12.5,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.36,1584
Asus,17.3,Intel Core i7 6820HK 2.7GHz,32,512,Nvidia GeForce GTX 1080,Windows 10,3.8,2799
Acer,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Linux,2.4,709
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.2,1449.9
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1191.8
HP,15.6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,1.86,364.9
Toshiba,15.6,Intel Core i5 7200U 2.5GHz,8,500,Intel HD Graphics 620,Windows 10,2,1064
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,2.2,919
Dell,15.6,Intel Core i7 8550U 1.8GHz,16,1024,AMD Radeon 530,Windows 10,2.2,1135
Lenovo,15.6,Intel Core i7 6700HQ 2.6GHz,8,1024,Nvidia GeForce GTX 960,Windows 10,3.31,1196
Dell,17.3,Intel Core i7 7700HQ 2.8GHz,32,1024,Nvidia GeForce GTX 1070,Windows 10,4.42,3147.37
Dell,14,Intel Core i5 6300U 2.4GHz,8,256,Intel HD Graphics 520,Windows 10,1.56,1229
Lenovo,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,500,Intel HD Graphics 500,Windows 10,2.2,419
Lenovo,15.6,Intel Core i5 6200U 2.3GHz,4,500,Intel HD Graphics 520,Windows 10,2.2,535
HP,15.6,Intel Core i3 6006U 2GHz,6,1024,AMD Radeon R5 M430,Windows 10,2.04,539
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1060,Windows 10,2.7,1486.77
Toshiba,15.6,Intel Core i3 6100U 2.1GHz,4,128,Intel HD Graphics 520,Windows 10,2.1,498
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows 10,2.06,955
HP,15.6,Intel Core i7 7500U 2.7GHz,8,1024,AMD Radeon 530,Windows 10,2.1,745
Toshiba,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2,1258
Acer,15.6,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Linux,2.1,412
Microsoft,13.5,Intel Core i7 7600U 2.8GHz,8,256,Intel Iris Plus Graphics 640,Windows 10 S,1.252,1867.85
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,1024,AMD Radeon R5 M430,Windows 10,1.9,817.95
Lenovo,13.3,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.3,1034
Lenovo,15.6,AMD E-Series E2-9000 2.2GHz,4,128,AMD Radeon R2 Graphics,Windows 10,2.2,349
HP,14,Intel Core i3 7100U 2.4GHz,4,128,Nvidia GeForce 940MX,Windows 10,1.63,699
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050,Windows 10,2.4,1294
Asus,14,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.1,1135
HP,11.6,Intel Celeron Dual Core N3350 1.1GHz,8,64,Intel HD Graphics 500,Chrome OS,1.4,495
LG,15.6,Intel Core i7 8550U 1.8GHz,8,512,Intel HD Graphics 620,Windows 10,1.09,2299
Acer,15.6,Intel Core i5 7300HQ 2.5GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1299
MSI,15.6,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,2.2,997.9
Asus,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,128,Intel HD Graphics 500,Windows 10,1.86,419
Dell,15.6,Intel Core i5 7300HQ 2.5GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,3.21,2051
HP,17.3,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 520,Windows 10,2.5,699
Lenovo,13.3,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,1.19,1499
Dell,15.6,Intel Core i7 7820HK 2.9GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,3.49,2813.75
HP,15.6,Intel Core i5 7200U 2.5GHz,4,500,AMD Radeon 520,Windows 10,1.86,612.61
Dell,15.6,Intel Core i3 6006U 2GHz,4,1024,AMD Radeon R5 M430,Windows 10,2.2,545.67
HP,17.3,AMD A10-Series 9600P 2.4GHz,6,2048,AMD Radeon R7 M440,Windows 10,2.65,569
Lenovo,15.6,Intel Celeron Dual Core 3855U 1.6GHz,4,500,Intel HD Graphics 510,Windows 10,2.1,318
Acer,14,Intel Celeron Dual Core 3855U 1.6GHz,4,32,Intel HD Graphics 510,Chrome OS,1.45,375
Lenovo,14,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Windows 10,1.7,699
HP,17.3,Intel Core i7 7700HQ 2.8GHz,8,500,Nvidia Quadro M1200,Windows 10,3.14,1907.99
Lenovo,14,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.42,2590
Toshiba,13.3,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.5,973
Acer,11.6,Intel Celeron Dual Core N3050 1.6GHz,4,32,Intel HD Graphics,Windows 10,1.4,269
Lenovo,14,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,1.38,1749
Asus,12.5,Intel Core M M3-6Y30 0.9GHz,4,64,Intel HD Graphics 515,Chrome OS,1.2,669
Toshiba,13.3,Intel Core i7 6500U 2.5GHz,16,512,Intel HD Graphics 520,Windows 10,1.36,1877
HP,15.6,Intel Core i7 7500U 2.7GHz,4,500,AMD Radeon 530,Windows 10,2.1,689
Dell,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.56,819
Lenovo,15.6,AMD A9-Series 9420 2.9GHz,4,256,AMD Radeon 530,Windows 10,2.2,399
Lenovo,15.6,AMD A12-Series 9720P 3.6GHz,8,1024,AMD Radeon R7,Windows 10,2.2,429
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,1024,Intel HD Graphics 620,Windows 10,2.1,621.45
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,1.9,450
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2.18,795
Acer,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.6,999
Lenovo,15.6,Intel Core i7 6500U 2.5GHz,16,512,Nvidia Quadro M520M,Windows 7,2.18,1855
Lenovo,14,Intel Core i5 6300HQ 2.3GHz,8,256,Intel HD Graphics 520,Windows 10,1.8,1191
HP,17.3,AMD A10-Series 9620P 2.5GHz,6,2048,AMD Radeon 530,Windows 10,2.71,655.01
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1249
Dell,14,Intel Core i5 7440HQ 2.8GHz,8,256,Nvidia GeForce 930MX,Linux,1.64,1089
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Linux,1.98,726
Asus,14,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.5,298
Dell,15.6,Intel Core i5 7300U 2.6GHz,16,512,Intel HD Graphics 620,Windows 10,1.93,1426.66
Lenovo,14,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 920MX,Windows 10,1.87,857.07
Dell,15.6,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,1.9,1179
Lenovo,15.6,AMD A6-Series 7310 2GHz,4,500,AMD Radeon R4,Windows 10,2.19,298
Mediacom,14,Intel Atom Z8350 1.92GHz,4,32,Intel HD Graphics 400,Windows 10,1.4,265
HP,17.3,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 930MX,Windows 10,2.63,1200
Lenovo,14,Intel Core i7 6500U 2.5GHz,8,512,Intel HD Graphics 520,Windows 10,1.17,1686.64
HP,13.3,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.58,836.6
Lenovo,14,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.32,1499
Dell,17.3,Intel Core i7 7700HQ 2.8GHz,32,1024,Nvidia GeForce GTX 1070,Windows 10,4.36,3659.4
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1348.48
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,1024,Intel HD Graphics 620,No OS,1.9,489.9
